,Suburb,Region,Latitude,Longitude
359,Castleton Corners,New York City US,40.61333593766742,-74.11918058534843
360,New Springville,New York City US,40.594252379161695,-74.16496031329827
361,Travis,New York City US,40.58631375103281,-74.19073717538116
362,New Dorp,New York City US,40.57257231820632,-74.1164794360638
363,Oakwood,New York City US,40.5584622432888,-74.12156593771896
364,Great Kills,New York City US,40.549480228713605,-74.14932381490992
365,Eltingville,New York City US,40.542230747450745,-74.1643308041936
366,Annadale,New York City US,40.53811417474507,-74.17854866165878
367,Woodrow,New York City US,40.541967622888755,-74.20524582480327
368,Tottenville,New York City US,40.50533376115642,-74.24656934235283
369,Tompkinsville,New York City US,40.637316067110326,-74.08055351790115
370,Silver Lake,New York City US,40.61919310792676,-74.09629029235458
371,Sunnyside,New York City US,40.61276015756489,-74.0971255217853
372,Ditmas Park,New York City US,40.64367518334098,-73.9610131246678
373,Wingate,New York City US,40.66094656188111,-73.93718680559314
374,Rugby,New York City US,40.65557231328077,-73.92688212616955
375,Park Hill,New York City US,40.60919044434558,-74.08015734936295
376,Westerleigh,New York City US,40.62109047275409,-74.13304143951704
377,Graniteville,New York City US,40.62017151223189,-74.15315246387762
378,Arlington,New York City US,40.63532509911492,-74.16510420241123
379,Arrochar,New York City US,40.596312571276734,-74.06712363225573
380,Grasmere,New York City US,40.598268359599906,-74.0766743627905
381,Old Town,New York City US,40.59632891379513,-74.08751118005578
382,Dongan Hills,New York City US,40.58867294819928,-74.0963990531252
383,Midland Beach,New York City US,40.573526905742824,-74.09348266303591
384,Grant City,New York City US,40.57621558711788,-74.10585598545434
385,New Dorp Beach,New York City US,40.564255493073354,-74.10432707469124
386,Bay Terrace,New York City US,40.55398800858462,-74.13916622175769
387,Huguenot,New York City US,40.53191192048961,-74.19174105747814
388,Pleasant Plains,New York City US,40.52469937611813,-74.21983106616777
389,Butler Manor,New York City US,40.50608165346305,-74.22950350260027
390,Charleston,New York City US,40.53053148283314,-74.23215775896526
391,Rossville,New York City US,40.54940400650072,-74.21572851113952
392,Arden Heights,New York City US,40.54928582278321,-74.18588674583894
393,Greenridge,New York City US,40.55529523617321,-74.17079414786092
394,Heartland Village,New York City US,40.58913894875281,-74.15902208156602
395,Chelsea,New York City US,40.594726027462954,-74.18956045519691
396,Bloomfield,New York City US,40.60577868452358,-74.18725638381567
397,Bulls Head,New York City US,40.6095918004203,-74.15940948657122
398,Carnegie Hill,New York City US,40.782682567125704,-73.95325646837112
399,Noho,New York City US,40.72325901885768,-73.98843368023597
400,Civic Center,New York City US,40.71522892046282,-74.00541529873355
401,Midtown South,New York City US,40.7485096643122,-73.98871313285247
402,Richmond Town,New York City US,40.56960594275505,-74.1340572986257
