,Suburb,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
195,Kensington,-37.793937799999995,144.9305645,ClayOven,-37.79436,144.929415,Pizza Place
196,Kensington,-37.793937799999995,144.9305645,Sori Cafe,-37.7936,144.92998,Japanese Restaurant
197,Kensington,-37.793937799999995,144.9305645,Food And Desire HQ,-37.795730576039254,144.93381296356165,Wings Joint
198,Kensington,-37.793937799999995,144.9305645,Fifty-six threads cafe,-37.79696,144.92763,Café
199,Melbourne CBD,-37.8141823,144.9598007,Patricia Coffee Brewers,-37.81459770538132,144.95834960462622,Coffee Shop
200,Melbourne CBD,-37.8141823,144.9598007,Tipo 00,-37.81352651659617,144.96197769842925,Italian Restaurant
201,Melbourne CBD,-37.8141823,144.9598007,Kirk's Wine Bar,-37.81366122201294,144.96135085146574,Wine Bar
202,Melbourne CBD,-37.8141823,144.9598007,Brother Baba Budan,-37.81344531526534,144.9621371027108,Coffee Shop
203,Melbourne CBD,-37.8141823,144.9598007,La Belle Miette,-37.81397866796212,144.96142940769838,Dessert Shop
204,Melbourne CBD,-37.8141823,144.9598007,Manchester Press,-37.81374034440173,144.96213239807437,Café
205,Melbourne CBD,-37.8141823,144.9598007,Le Petit Gâteau,-37.81625445835206,144.95958483140944,Dessert Shop
206,Melbourne CBD,-37.8141823,144.9598007,Sun Moth Canteen & Bar,-37.81290999696753,144.96136607521245,Café
207,Melbourne CBD,-37.8141823,144.9598007,Whitehart,-37.81278061076497,144.96197284896698,Bar
208,Melbourne CBD,-37.8141823,144.9598007,Dex2rose Nitrogen Gelato,-37.81374555302389,144.96159445633037,Dessert Shop
209,Melbourne CBD,-37.8141823,144.9598007,Mjølner,-37.81214,144.96068,Scandinavian Restaurant
210,Melbourne CBD,-37.8141823,144.9598007,Portello Rosso,-37.81368079614122,144.96197385930589,Spanish Restaurant
211,Melbourne CBD,-37.8141823,144.9598007,Tahini,-37.81484831035248,144.9568558199856,Lebanese Restaurant
212,Melbourne CBD,-37.8141823,144.9598007,Red Spice Road,-37.81533202223801,144.96164371960356,Thai Restaurant
213,Melbourne CBD,-37.8141823,144.9598007,Blok M Express,-37.813665078072404,144.96140417211825,Indonesian Restaurant
214,Melbourne CBD,-37.8141823,144.9598007,Critical Hit,-37.81581947333471,144.9621541330356,Toy / Game Store
215,Melbourne CBD,-37.8141823,144.9598007,Games Laboratory,-37.811726,144.95995,Hobby Shop
216,Melbourne CBD,-37.8141823,144.9598007,Brick Lane,-37.81134117627816,144.95981631029085,Café
217,Melbourne CBD,-37.8141823,144.9598007,The Hardware Société,-37.812010258216525,144.9604973136649,Café
218,Melbourne CBD,-37.8141823,144.9598007,Nosh,-37.81539569577019,144.96299852585878,Asian Restaurant
219,Melbourne CBD,-37.8141823,144.9598007,Palermo,-37.813851,144.961015,Argentinian Restaurant
220,Melbourne CBD,-37.8141823,144.9598007,Trattoria Emilia,-37.81522,144.962636,Italian Restaurant
221,Melbourne CBD,-37.8141823,144.9598007,Shamble Coffee Brewers,-37.81605572857632,144.96077919605452,Café
222,Melbourne CBD,-37.8141823,144.9598007,Shortstop Coffee & Donuts,-37.81124,144.961,Donut Shop
223,Melbourne CBD,-37.8141823,144.9598007,MoVida Aqui,-37.81452005404751,144.9584042724922,Tapas Restaurant
224,Melbourne CBD,-37.8141823,144.9598007,Outre Gallery,-37.81263249987799,144.96252731938003,Art Gallery
225,Melbourne CBD,-37.8141823,144.9598007,B'cos Brazil,-37.815486437832455,144.9630846580838,Brazilian Restaurant
226,Melbourne CBD,-37.8141823,144.9598007,Beneath Driver Lane,-37.81301,144.96317,Cocktail Bar
227,Melbourne CBD,-37.8141823,144.9598007,Workshop Brothers,-37.813980773547875,144.9603193067488,Coffee Shop
228,Melbourne CBD,-37.8141823,144.9598007,Good Ovening,-37.81379868921544,144.9606305393379,Café
229,Melbourne CBD,-37.8141823,144.9598007,Dikstein's Corner Bar,-37.81618941555469,144.96035305314885,Bar
230,Melbourne CBD,-37.8141823,144.9598007,COS,-37.81294869671152,144.96268075842008,Boutique
231,Melbourne CBD,-37.8141823,144.9598007,Minotaur,-37.81540614973775,144.96360326852417,Comic Shop
232,Melbourne CBD,-37.8141823,144.9598007,Chuckle Park,-37.815074697202064,144.96390786330923,Bar
233,Melbourne CBD,-37.8141823,144.9598007,Dodee Paidang Thai Street Food Bar And Cafe,-37.815653552230046,144.96326415448823,Thai Restaurant
234,Melbourne CBD,-37.8141823,144.9598007,Gami,-37.81339668390258,144.9555750368569,Korean Restaurant
235,Melbourne CBD,-37.8141823,144.9598007,Oriental Tea House,-37.81589511155167,144.9620595619567,Dim Sum Restaurant
236,Melbourne CBD,-37.8141823,144.9598007,Koko Black,-37.81448498174546,144.9640332693257,Dessert Shop
237,Melbourne CBD,-37.8141823,144.9598007,Jang-Gun,-37.81375468622353,144.9556558301665,Korean Restaurant
238,Melbourne CBD,-37.8141823,144.9598007,SUDA,-37.81379768985859,144.95569653136207,Korean Restaurant
239,Melbourne CBD,-37.8141823,144.9598007,Oriental Spoon 2,-37.81176,144.961871,Korean Restaurant
240,Melbourne CBD,-37.8141823,144.9598007,All Star Comics,-37.81751,144.9617,Comic Shop
241,Melbourne CBD,-37.8141823,144.9598007,N. Lee Bakery Cafe,-37.81672642936934,144.96056044505505,Bakery
242,Melbourne CBD,-37.8141823,144.9598007,The Irish Times,-37.816135313895735,144.96056313491044,Bar
243,Melbourne CBD,-37.8141823,144.9598007,Royal Stacks,-37.81786745504662,144.95848869266086,Burger Joint
244,Melbourne CBD,-37.8141823,144.9598007,Krimper,-37.81127419766101,144.95994196107418,Café
245,Melbourne CBD,-37.8141823,144.9598007,Typo,-37.81536378615486,144.96354967150936,Paper / Office Supplies Store
246,Melbourne CBD,-37.8141823,144.9598007,Starbucks,-37.81472147740682,144.96327221481954,Coffee Shop
247,Melbourne CBD,-37.8141823,144.9598007,Bourke Street Mall,-37.8138914784944,144.96402572272302,Shopping Plaza
248,Melbourne CBD,-37.8141823,144.9598007,H&M,-37.81380366607547,144.96330232507282,Clothing Store
249,Melbourne CBD,-37.8141823,144.9598007,Holey Moley,-37.8154468218987,144.95490600070505,Mini Golf
