,Cluster Labels,Address,Suburb,Region,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Suburb Latitude,Suburb Longitude
1032,3,"Waimairi Beach, Christchurch New Zealand",Waimairi Beach,Christchurch New Zealand,Café,Post Office,Supermarket,Golf Course,Construction & Landscaping,Beach,Sandwich Place,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,-43.4801431,172.7156886
1033,0,"Wainoni, Christchurch New Zealand",Wainoni,Christchurch New Zealand,Fish & Chips Shop,Supermarket,Basketball Stadium,Golf Course,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,-43.51454705,172.693839
1034,0,"Wakefield, New York City US",Wakefield,New York City US,Pharmacy,Gas Station,Ice Cream Shop,Donut Shop,Laundromat,Sandwich Place,Dessert Shop,Factory,Falafel Restaurant,Farm,40.89470518,-73.84720052
1035,1,"Wakerley, Brisbane",Wakerley,Brisbane,Park,Dry Cleaner,Zoo Exhibit,Event Service,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,-27.4819726,153.1617698
1036,2,"Walkeshwar, Mumbai City India",Walkeshwar,Mumbai City India,Indian Restaurant,Restaurant,Gastropub,Gym,Ice Cream Shop,Theater,Café,Coffee Shop,Food & Drink Shop,Park,18.9553434,72.8079469
1037,3,"Waltham, Christchurch New Zealand",Waltham,Christchurch New Zealand,Park,Bowling Alley,Café,Mexican Restaurant,Fast Food Restaurant,Athletics & Sports,Gym,Skating Rink,Skate Park,Organic Grocery,-43.5455474,172.6540015
1038,0,"Wangfujing, Beijing China",Wangfujing,Beijing China,Hotel,Coffee Shop,Shopping Mall,Fast Food Restaurant,Chinese Restaurant,Café,Clothing Store,Pizza Place,Tea Room,Beijing Restaurant,39.9066495,116.4052048
1039,0,"Wangjing, Beijing China",Wangjing,Beijing China,Korean Restaurant,Chinese Restaurant,Coffee Shop,Café,Fast Food Restaurant,Hotpot Restaurant,Shopping Mall,Hotel,Farmers Market,Spa,39.9918632,116.4600088
1040,0,"Wangsa Maju, Kuala Lumpur Malaysia",Wangsa Maju,Kuala Lumpur Malaysia,Convenience Store,Breakfast Spot,Asian Restaurant,Malay Restaurant,Burger Joint,Food Truck,Soup Place,Coffee Shop,Bagel Shop,Turkish Restaurant,3.205667,101.731908
1041,0,"Warner Center, Los Angeles US",Warner Center,Los Angeles US,Gym,Coffee Shop,Sushi Restaurant,Restaurant,Taco Place,Supplement Shop,Mexican Restaurant,Café,Deli / Bodega,Electronics Store,34.1811457,-118.5974421
1042,0,"Washington Heights, New York City US",Washington Heights,New York City US,Café,Bakery,Mobile Phone Shop,Chinese Restaurant,Grocery Store,Tapas Restaurant,Sandwich Place,Cosmetics Shop,Deli / Bodega,Pizza Place,40.85190253,-73.93690028
1043,3,"Waterloo, Sydney",Waterloo,Sydney,Café,Park,Thai Restaurant,Pizza Place,Bakery,Grocery Store,Supermarket,Sandwich Place,Coffee Shop,Shopping Mall,-33.9002762,151.2073137
1044,1,"Waterview, Auckland City New Zealand",Waterview,Auckland City New Zealand,Park,Coffee Shop,Sandwich Place,Café,Neighborhood,Convenience Store,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,-36.8774512,174.6989499
1045,0,"Watts, Los Angeles US",Watts,Los Angeles US,Fried Chicken Joint,Insurance Office,Fast Food Restaurant,Grocery Store,Sculpture Garden,Bank,Café,Sandwich Place,Pharmacy,Women's Store,33.9405674,-118.2428485
1046,0,"Wavell Heights, Brisbane",Wavell Heights,Brisbane,Bakery,Furniture / Home Store,Fish & Chips Shop,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm,-27.3958794,153.048943
1047,0,"Wazirabad, New Delhi India",Wazirabad,New Delhi India,Snack Place,Liquor Store,Financial or Legal Service,Film Studio,Filipino Restaurant,Field,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,28.433762,77.0877572
1048,0,"Weeksville, New York City US",Weeksville,New York City US,Discount Store,Juice Bar,Chinese Restaurant,History Museum,Fried Chicken Joint,Bakery,Cocktail Bar,Park,Caribbean Restaurant,Grocery Store,40.67503987,-73.93053109
1049,3,"West Adams, Los Angeles US",West Adams,Los Angeles US,Fried Chicken Joint,Check Cashing Service,Café,Deli / Bodega,Park,Sandwich Place,Wine Bar,Fast Food Restaurant,Financial or Legal Service,Film Studio,34.0294356,-118.3524833
1050,0,"West Brighton, New York City US",West Brighton,New York City US,Coffee Shop,Pharmacy,Italian Restaurant,Bank,Bar,Music Store,Breakfast Spot,Chinese Restaurant,Bagel Shop,Event Space,40.63187893,-74.10718178
