,Address,Suburb,Region,Latitude,Longitude
146,"Wynnum, City of brisbane",Wynnum,City of brisbane,-27.445104200000003,153.17560780000002
147,"Wynnum West, City of brisbane",Wynnum West,City of brisbane,-27.4539766,153.1562022
148,"Anstead, City of brisbane",Anstead,City of brisbane,-27.5404815,152.8638552
149,"Ashgrove, City of brisbane",Ashgrove,City of brisbane,-27.445076,152.993363
150,"Auchenflower, City of brisbane",Auchenflower,City of brisbane,-27.4743727,152.99569499999998
151,"Banks Creek, City of brisbane",Banks Creek,City of brisbane,-27.451570500000003,153.1499683
152,"Bellbowrie, City of brisbane",Bellbowrie,City of brisbane,-27.561925399999996,152.8855689
153,"Brookfield, City of brisbane",Brookfield,City of brisbane,-27.494758899999997,152.91146750000001
154,"Chapel Hill, City of brisbane",Chapel Hill,City of brisbane,-27.5051363,152.952349
155,"Chelmer, City of brisbane",Chelmer,City of brisbane,-27.5122288,152.97440749999998
156,"Chuwar, City of brisbane",Chuwar,City of brisbane,-27.545818100000005,152.76615604092365
157,"Corinda, City of brisbane",Corinda,City of brisbane,-27.543076899999996,152.9813705
158,"England Creek, City of brisbane",England Creek,City of brisbane,-27.365278200000002,152.71777340000003
159,"Enoggera, City of brisbane",Enoggera,City of brisbane,-27.422257300000002,152.9917628
160,"Enoggera Reservoir, City of brisbane",Enoggera Reservoir,City of brisbane,-27.433332,152.870834
161,"Ferny Grove, City of brisbane",Ferny Grove,City of brisbane,-27.4034029,152.933129
162,"Fig Tree Pocket, City of brisbane",Fig Tree Pocket,City of brisbane,-27.5281261,152.96270180000002
163,"Graceville, City of brisbane",Graceville,City of brisbane,-27.520899,152.977918
164,"Indooroopilly, City of brisbane",Indooroopilly,City of brisbane,-27.5014579,152.9745281
165,"Jamboree Heights, City of brisbane",Jamboree Heights,City of brisbane,-27.557414899999998,152.9345227
166,"Jindalee, City of brisbane",Jindalee,City of brisbane,-27.5336271,152.9385099
167,"Karana Downs, City of brisbane",Karana Downs,City of brisbane,-27.55,152.8222
168,"Kenmore, City of brisbane",Kenmore,City of brisbane,-27.5160106,152.94134209999999
169,"Kenmore Hills, City of brisbane",Kenmore Hills,City of brisbane,-27.495594,152.92728169999998
170,"Kholo, City of brisbane",Kholo,City of brisbane,-27.56329255,152.74866087827084
171,"Lake Manchester, City of brisbane",Lake Manchester,City of brisbane,18.017025600000004,-77.5162162
172,"Middle Park, City of brisbane",Middle Park,City of brisbane,-27.5534017,152.9211696
173,"Milton, City of brisbane",Milton,City of brisbane,-27.470019399999995,153.0037657
174,"Moggill, City of brisbane",Moggill,City of brisbane,-27.570293100000004,152.8765061
175,"Mount Coot-tha, City of brisbane",Mount Coot-tha,City of brisbane,-27.474898200000002,152.9533042
176,"Mount Crosby, City of brisbane",Mount Crosby,City of brisbane,-27.4325961,153.04687230000002
177,"Mount Ommaney, City of brisbane",Mount Ommaney,City of brisbane,-27.5444804,152.9286773
178,"Oxley, City of brisbane",Oxley,City of brisbane,-27.5564622,152.9743667
